carton,plan,tag,status,program,in_tg1,in_tg2,in_tg3,in_tg4,in_tg5,in_tg6,in_tg7,targeting_generations
manual_bhm_spiders_comm_lco,0.5.23,0.3.22,core,commissioning,0,0,0,0,0,0,1,{dr20.manual}
openfibertargets_nov2020_11,1.0.7,1.0.7,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
openfibertargets_nov2020_18,1.0.7,1.0.7,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
openfibertargets_nov2020_26,1.0.7,1.0.7,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
openfibertargets_nov2020_27,1.0.7,1.0.7,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
openfibertargets_nov2020_30,1.0.7,1.0.7,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
openfibertargets_nov2020_33,1.0.10,1.0.10,openfiber,ancillary,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_core,1.0.12,1.0.12,core,bhm_rm,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_known_spec,1.0.12,1.0.12,core,bhm_rm,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_var,1.0.12,1.0.12,core,bhm_rm,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_ancillary,1.0.12,1.0.12,core,bhm_rm,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_rm_xrayqso,1.0.12,1.0.12,core,bhm_rm,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_csc_boss,1.0.37,1.0.37,non-core,bhm_csc,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_csc_apogee,1.0.37,1.0.37,non-core,bhm_csc,0,0,0,0,3,1,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5}"
bhm_gua_dark,1.0.37,1.0.37,ancillary,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_gua_bright,1.0.37,1.0.37,ancillary,bhm_filler,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
bhm_spiders_clusters_lsdr10,1.0.37,1.0.37,core,bhm_spiders,0,0,0,0,3,2,0,"{v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.5-boss-only}"
