carton,plan,tag,status,program,label
bhm_aqmes_med,0.1.0,0.1.0,core,bhm_aqmes,v0.plates
bhm_aqmes_med-faint,0.1.0,0.1.0,non-core,bhm_filler,v0.plates
bhm_aqmes_wide3,0.1.0,0.1.0,core,bhm_aqmes,v0.plates
bhm_aqmes_wide3-faint,0.1.0,0.1.0,non-core,bhm_filler,v0.plates
bhm_aqmes_wide2,0.1.0,0.1.0,core,bhm_aqmes,v0.plates
bhm_aqmes_wide2-faint,0.1.0,0.1.0,non-core,bhm_filler,v0.plates
bhm_aqmes_bonus-dark,0.1.0,0.1.0,non-core,bhm_filler,v0.plates
bhm_aqmes_bonus-bright,0.1.0,0.1.0,non-core,bhm_filler,v0.plates
bhm_csc_boss-dark,0.1.0,0.1.0,non-core,bhm_csc,v0.plates
bhm_csc_boss-bright,0.1.0,0.1.0,non-core,bhm_csc,v0.plates
bhm_csc_apogee,0.1.0,0.1.0,non-core,bhm_csc,v0.plates
bhm_gua_dark,0.1.0,0.1.0,ancillary,bhm_filler,v0.plates
bhm_gua_bright,0.1.0,0.1.0,ancillary,bhm_filler,v0.plates
bhm_rm_core,0.1.0,0.1.0,core,bhm_rm,v0.plates
bhm_rm_known-spec,0.1.0,0.1.0,core,bhm_rm,v0.plates
bhm_rm_var,0.1.0,0.1.0,core,bhm_rm,v0.plates
bhm_rm_ancillary,0.1.0,0.1.0,core,bhm_rm,v0.plates
bhm_spiders_agn-efeds,0.1.0,0.1.0,core,bhm_spiders,v0.plates
bhm_spiders_clusters-efeds-sdss-redmapper,0.1.0,0.1.0,core,bhm_spiders,v0.plates
bhm_spiders_clusters-efeds-hsc-redmapper,0.1.0,0.1.0,core,bhm_spiders,v0.plates
bhm_spiders_clusters-efeds-ls-redmapper,0.1.0,0.1.0,core,bhm_spiders,v0.plates
bhm_spiders_clusters-efeds-erosita,0.1.0,0.1.0,core,bhm_spiders,v0.plates
bhm_spiders_agn_gaiadr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_gaiadr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.2
bhm_spiders_agn_gaiadr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.3
bhm_spiders_agn_gaiadr2,0.5.0,0.3.0,non-core,bhm_spiders,v0.5.5
bhm_spiders_agn_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.epsilon-7-core-0
bhm_spiders_agn_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.2
bhm_spiders_agn_lsdr8,0.5.0,0.3.0,core,bhm_spiders,v0.5.3
